business_id,topic_1,topic_2,topic_3,topic_4
cF98fzqrMnikhXhuSz6ruQ,0.2359106846501293,0.21060225715665018,0.25797989860053566,0.1767565035427528
OD2dbQTKN7FS01fHzZqqzA,0.15764483833914417,0.20745458620358134,0.26581599062232164,0.3994203800345175
I81hDYqQjMaaE3p6KyRMJA,0.4269804521646649,0.27693147222436365,0.2617721134394337,0.5434645803140976
1RROh1rSDB4ASIZ-kwxT2w,0.20588347908742333,0.22127330632919243,0.43265944489095726,0.1501383756162919
w6F502EKMyn3ONbGT2bQxw,0.2841272294522315,0.20157447320404345,0.2048518130456433,0.22490621281491963
J6ztqzgZzTDyZp2Xxq7ebA,0.22543661431019513,0.49862206881920007,0.3502184557789855,0.253875220003149
ZwKUXfZguhBD1zsfb0RLPg,0.2592890921045307,0.28781291672551157,0.43381739188613244,0.32027082171022864
cSwEDCPtfN-t545eQyGhmQ,0.24299340185778784,0.3770821438267312,0.3588234425686991,0.23359257011983417
IOQ7hWDbdzZgOSr2sDELoQ,0.2134572752069493,0.3852103738971018,0.33009314618633057,0.35220199735071106
S3w4Pw1wSpYkICvtJAzG8A,0.1953174829320193,0.199838344753889,0.2165645513020179,0.4072605055378572
CSKLjqgN3ZsrihIvPsz5cA,0.36816155823620766,0.2947266560641369,0.4026065822483941,0.38189219437167893
l44E5TrKTo9U8xWIbSORjA,0.5146896481263848,0.44684585651400055,0.38395478085726603,0.5339486110879557
e_Nf4zAA1KZq80aoy3v8Ng,0.23689252260705093,0.1556392246621818,0.1535816795344059,0.39664353008847775
nYvBZYg9rfqWFTYuxSVMdw,0.5451922004490098,0.3069332467436987,0.3526275112998882,0.38054594339305503
2MnNaZcNG_2whC9NyL4qgA,0.2503459802346991,0.22834234250255464,0.24845757877788502,0.31211510823513533
mlCDsdVFuZvRGrJTfQ6amw,0.3037798108463871,0.1141935839881519,0.27166199331843893,0.14694666939617906
E50mr3xobsahb77IBRwVTQ,0.3017318421507163,0.22599819529939877,0.41784303696997155,0.3114895892496462
ToHKLIjR05Rz9boWvmWaPA,0.08133822135097125,0.12823698068416317,0.3709049904010967,0.2581151949410618
bzdb1jJ1j8Qn_RVHY97FnA,0.18840075696314215,0.18700029621171507,0.45358123471060735,0.2571693186201605
WHlbUb5SNdXDKYfkNDo89A,0.1701805159576537,0.33909370742738404,0.2840261058229322,0.21541875587870835
565uVvO-hFqbajFNkt0hnw,0.522995364506729,0.7844820868315056,0.5664810885481992,0.3519785458356377
TIYnquDIPdYmVJK4GNeXSQ,0.3345384830544665,0.3588974606738142,0.35299210499225087,0.32544570479253926
fPX6XsfCPWnJwCyxsBVnxw,0.1723234214353717,0.24022889545554446,0.40195138281083526,0.3574829347661156
